"NOMFO","TECHNOLOGIE","NB_ANTENNES"
"FREE MOBILE","5G NR 700",1074
"ORANGE","5G NR 3500",322
"BOUYGUES TELECOM","5G NR 3500",113
"BOUYGUES TELECOM","5G NR 2100",391
"SFR","5G NR 3500",196
"FREE MOBILE","5G NR 3500",185
"SFR","5G NR 2100",244
